comment,sentiment
一路走好,0
我也是江油的，看到真的很寒心,0
今天太难过了,0
走好,0
一路走好,0
英雄走好，愿天堂没有疾病，给你平安喜乐。,0
云致敬,0
一路走好，人民的好支书,0
基层真心惨,0
走好 ,0
我相信好官更多，但是几颗老鼠屎真的坏了一锅汤，而且祸殃全世界。疫后算总帐！,0
走好??,0
都是江油人，看到这个泪目了，江油人民感谢有这样的领导！愿在天堂安好??????,0
我们江油的,0
一路走好????????,0
死得其所，重于泰山！,0
江油居然这样上热搜了,0
一定要越来越少,0
天呐,0
一路走好，愿天堂没有病痛,0
人民英雄，真是很痛心。一路走好。,0
英雄一路走好,0
一路走好,0
朋友也驻村,0
吃野味的 我都不知道该怎么骂你了,0
今年一场疫情揭露太多事情  发生好多事  好多人在这场疫情中是很难忘的,0
天佑中华武汉加油,0
同学那个市，无情的疫情，一路走好,0
球球不要再有英雄去世了,0
怎么会这样,0
致敬一线英雄??也请一线英雄们做好防护工作，保护好自己??,0
勇敢的善良的人本不该如此艰难的，不该的,0
越是基层 越是辛苦,0
一路走好。,0
致敬,0
一路走好！！！！！别再复制其他话了,0
为什么每天没好新闻啊！！！,0
走好,0
那些说体制内的只拿钱不干活的能看到这些信息吗？！奋战在一线的有很多！这些基层人员也值得我们关注！！！另外，他也是一名党员！所以希望大家看新闻发评论时不要以偏概全！！,0
我们四川的英雄,0
一路走好,0
我现在的心情一天比一天沮丧,0
哭的好伤心 为什么总是用生命为那些错误买单呢,0
太沉重了,0
一路走好,0
我的家江油这样一个美好的地方，不想以这样的方式呈现给大家 辛苦了刘书记    江油会越来越好的,0
你是我们江油人的骄傲！谢谢你付出！值得人尊敬,0
是我大江油的好官啊,0
一路走好,0
填表式防疫，这两天我们也疯了,0
作为江油人真的好心痛,0
这些人也应该算进去因疫情而去世的人里面。记住，这是人祸,0
今年太难了，我只希望每个人健康平安,0
致敬！,0
走好！,0
致敬英雄，一路走好,0
连着多少条这样的新闻了,0
一路走好，四川人民感谢你??,0
为人民服务的人。,0
英雄走好,0
最先倒下的，怎么不见武汉的官员。。,0
英雄一路走好,0
