comment,sentiment
大大辛苦了,1
主席辛苦了，中国加油,1
相信我们的祖国，相信我们的医护人员，我们一定会成功的会熬过去的,1
主席亲临现场为大家呐喊鼓劲儿，太感动了,1
加油加油我们一定赢,1
没有中国过不去的坎！所有医护人员都辛苦了！,1
武汉加油！都会变好的,1
大大辛苦了，一线医护人员辛苦了，我们一定会取得胜利??,1
中国加油????,1
希望疫情早日结束！主席太辛苦了！,1
树立信心，一定会胜利??！,1
主席辛苦！心系人民！,1
武汉加油！一切都会变好的！,1
树立信心，加油！,1
加油我们能赢！,1
加油！祖国会越来越强大！,1
加油！！一定会！！,1
加油加油?,1
一定会胜利的,1
武汉必胜,1
辛苦了,1
加油,1
中国加油,1
武汉加油加油加油加油加油加油加油加油,1
武汉必胜，中国必胜。,1
加油，我们一定会胜利的！,1
中国加油????,1
中国加油，武汉加油??,1
武汉加油，北京加油安徽加油中国加油,1
辽宁顶襄阳，别慌襄阳的朋友们，辽宁来了。,1
天辽地宁，永不孤行。,1
云南来帮忙咸宁啦！！！！一起加油??,1
我们辽宁倾尽全力支援武汉…医护人员、物资、粮食、蔬菜…华晨上百辆负压救护车，东软所有的CT、X线……无数医疗装备。只要我们有的，只要是你们需要的，我们一定全力以赴！火神里的五百老乡、雷神里的一千老乡，加油！武汉加油！中国加油！,1
岂曰无衣与子同袍湖北加油,1
江西感染全国第七去支援湖北感染第三的城市[捂脸]太艰难了，江西随州加油,0
江苏的来报道湖北加油中国加油,1
我们山东全力支援黄冈,1
我们医院派人去啦，可惜我没被选上，第二批我报名了，希望能有机会回报家乡,1
大河南在你身后，加油，顶你！！！,1
我们大河北负责神农架！??乡亲们等你们凯旋归来！,1
广东加油，已经派了超过1100名医护人员支援了，希望他们平安归来,1
江苏江苏！！！江苏加油武汉黄石孝感湖北加油，,1
希望返工后依旧能控制住，希望每天都下降，湖北也要一起加油,1
期待接下来的都是好消息,1
我们领教了世界是何等凶顽，同时又得知世界也可以变得温存和美好。——村上春树《海边的卡夫卡》???,1
期待每日治愈＞每日新增??,1
求求快点好起来吧，我想上学。,1
这就是隔离的效果。大家听话，疫情结束的快！,1
继续保持！！就这么降到新增0例吧！！,1
明日头条湖北以外新增病例连降9天！,1
每天最期待的就是这条微博！希望一天比一天少,1
春天会到来的,1
各地举措落实，防控效果立竿见影,1
全国都在降！太好了,1
太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了,1
全国都在降！太好了,1
请不要换武汉周市长，谢谢！,1
王书记的风评还是很好的，大家尽管放心，我山东有个顺口溜，忠林三年不挪窝，济南变成新加坡,1
大济南的好书记,1
新官上任，加油加油加油！,1
济南作为北方工农业支柱大省山东省的省会，各方面经济社会发展需要引起国家重视。济南在21世纪的中国强省会大城市虹吸扩张大潮里沉寂了十余年，近几年在王文涛和王忠林先后主政下经济发展面貌总算有了点起色，结果一个去东北振兴经济，一个去武汉火线抗疫,0
山东人民含泪送出市委书记,0
请中央重视山东发展，再穷不能穷山东,0
今天新闻全是大手笔,1
济南人表示不舍,0
强烈建议把山东卫视捐出去，不用回来的那种,0
我大山东捐蔬菜，捐物资，捐医疗队，又捐了个市委书记，能捐的都捐了，剩下的就看你们了！湖北加油，武汉加油！,1
坚决支持党中央的英明决断！,1
新官上任三把火，要烧猛一点,1
干得漂亮,1
市长过去一定要好好管制那些野味市场啊！！！注意健康！！加油(???_??)?,1
就该这样干,1
相信国家！相信政府！中国加油！湖北加油！,1
干得漂亮,1
相信党中央！！,1
临危受命，征战湖北，望您健康，湖北早日抗疫成功,1
希望是个好官有本事的官，救湖北人民于水火,1
支持中央的决策！武汉加油，中国加油！,1
换牌了，王炸来了,1
相信中央政府英明决策,1
这是党的英明决策！希望武汉能有好转！??????,1
新市长加油，一定要管住那帮吃野味的人，还有注意健康,1
湖北终于有救了…,1
支持,1
奉命于危难之间！,1
党中央英明,1
临危受命，不要让全国的老百姓失望！,1
真好,1
鼓舞人心、中国必胜,1
干得好湖北加油,1
干的漂亮,1
时时刻刻要把人民群众的生命放在第一位,1
临危受命！,1
只要对疫情有利，对百姓有益，都是对的,1
英明决策,1
红十字会不查，全国网友不放，红十字会作风这么差，怎么救武汉[微笑][微笑][微笑][微笑],0
数万民众为何医院半夜惨叫？ 慈善捐款为何屡遭黑手？全国捐赠物质为何频频失窃？ 连环口罩数不清，背后又隐藏着什么？ 这一切，究竟是人性的扭曲还是道德的沦丧？ 是权力的爆发还是老百姓的无奈，F4失去公信，最终结局又会如何，敬请关注本年度奇幻神剧，武汉那段令人揪心的日子,0
【哑巴吃黄连，傻子吃双黄连吗？】继板蓝根之后，双黄连会成为第二个收智商税的中药吗？我们抢的是药吗？只是在一个恐慌的年代寻找一个心里安慰，双黄连就算有用也是得了病以后才有用，不得病根本没用，吃多了寒胃！少出门，少去人多的地方，勤洗手，出门戴口罩才是最好的方法！,0
比疫情更可怕的是人心！ 灾难之下，最见人性， 病毒面前，透视人心。 疫情不可怕， 有些人心才是真正的可怕！,0
湖北红会独立了？就因为会长是副省长不敢查？作为一亿多粉丝的官媒，别寒了人民的心，别转移注意力了，彻查湖北红十字会和慈善总会！！！！！人民日报不是发国难财的蛀虫机构的庇护地和保护伞！！！[蜡烛][蜡烛][蜡烛][蜡烛][蜡烛][蜡烛][蜡烛][蜡烛],0
恳请河北政府公开感染病例具体县区和活动轨迹！！！我们不想只看得到数字！！！人民都恐慌成什么样子了！！！非要相信谣言吗！！,0
拜托上面关注一下河北沧州！！！！河北重灾区了！！！沧州唯一一个定点治疗医院，沧州市传染病医院医护物资缺乏！！！！沧州新华区运河区医疗物资医护物资缺乏！！！！！！！能不能支援一下！！！！！！！！！！！,0
都什么时代了，还在玩糊弄老百姓那一套。与时俱进，不忘初心真的只是动动嘴皮子么？还要叫人民心寒几次？,0
一个垃圾武汉红十字会，让大家去年白唱了大半年我和我的祖国。湖北这些佩奇，从事发之前的控管，到事发之后的调配，从头烂到脚,0
是抑制啊！！你得先有了才能抑制,0
终于明白为啥国内当官的家属，有钱人，明星们都要整个绿卡了。中国有事情发生，他们可以跑出去避难，国外出事了，他们可以跑回来避难。两头跑，真奇妙。,0
哎~~麻烦尽快查清捐的款红十字弄哪里去了，为什么医院还在缺物资？我就不信全球都供不起个湖北！！！！,0
[微笑]！！必须彻查湖北红十字会、湖北卫建委[微笑]！！必须彻查湖北红十字会、湖北卫建委[微笑]！！必须彻查湖北红十字会、湖北卫建委[微笑]！！必须彻查湖北红十字会、湖北卫建委[微笑]！！必须彻查湖北红十字会、湖北卫建委,0
