comment,sentiment,,,,
全国绝大部分地区“健康码”实现一码通行，可是有些地方的懒政针对湖北籍人员和滞留湖北人员劝返的粗暴行为，很明显于法无据，过度管控，极端防疫亟待纠偏。,0,,,,
从外地回黄冈某县为什么还需要接受证明？又不是从国外回来的？妈妈的，今年真领教了作为42开头的人真太难了，太难太难，快抑郁症了,0,,,,
黄冈[赞啊][赞啊][赞啊],1,,,,
快复工吧[失望][失望]老百姓扛不住了,0,,,,
希望可以有序复工,1,,,,
看到希望了。,1,,,,
求求湖北其他地级市能通火车吧，再不出去就要失业了[泪],0,,,,
被辞退的举手,0,,,,
有的企业复工比不复工还亏的多[允悲],0,,,,
剩下的20%基本上倒闭了～[失望],0,,,,
教育行业怎么破，喝个月贴钱[泪][泪],0,,,,
复工的80%有80%闲着没事做！,0,,,,
复工有啥用  都没事做 各种强制员工休假  甚至好多地方都通知放假几个月,0,,,,
闭眼编数据有用吗？大把企业没订单工人都遣散了,0,,,,
是复工，但老板用各种手段逼员工离职，这样公司损失就降到了最低，受伤害都是员工,0,,,,
复工个毛线,0,,,,
经济啥时候复苏啊[跪了]，太难了,0,,,,
防疫靠大家，不分你我他！疫情不停止，口罩进行时,1,,,,
人间烟火气，最抚凡人心,1,,,,
就喜欢这样的烟火气息,1,,,,
长风破浪会有时，直挂云帆济沧海！武汉加油！,1,,,,
除了工资没涨，其他都涨了，太难了,0,,,,
山东终于有个不是负面的新闻了[允悲][允悲][doge][doge],1,,,,
一波涨价打消了我的报复性消费[喵喵][喵喵][喵喵]我怕消费过后就没能力消费了,0,,,,
还没有开始报复性消费呢，就已经开始报复性涨价了,0,,,,
现在一看到山东两字  就害怕  害怕再是负面  怕被骂[悲伤],0,,,,
国内虽然缓下来了，但出门戴口罩是必要的,1,,,,
坚持做好自身防护,1,,,,
不停航坑死人，国外回来的都是有钱人。疫情过后对他们没一点影响。坑死国内,0,,,,
中小企业倒闭率是多少？复工失业率是多少？,0,,,,
国外国内飞的一般都是有钱人，我们这些普通百姓真是难[泪],0,,,,
有三个月分文未进的吗？,0,,,,
看来今年只适合待在家里为国家做贡献[允悲],0,,,,
今年真的太难了,0,,,,
今天太难了，希望赶快度过难关,0,,,,
京津冀终于互认了！不用每次北京隔离14天了！不一刀切了 喜大普奔,1,,,,
现在境外输入有所减少了，本土又想增加了，啥时候是个头啊[泪][泪][泪],0,,,,
互认，然后呢？十四天隔离还要不要？一句话的事儿就那么难说清楚吗？还是要隔离的话，要不要互认有什么用？,0,,,,
家在河北，工作天津，对象北京，三个月没见了，就想知道五一让不让出去[跪了],0,,,,
咱们严重的时候，建国同志天天叫唤制造业重回美国，最近也不叫唤这个了，改成甩锅了,0,,,,
靠自己才是王道,1,,,,
